timestamp,node,message_id,direction,status,payload
0.0014,ABS_ECU,0x1AF,TX,OK,06 B7 33 02 0A 02 C9 9C
0.0037,STEERING_ECU,0x1C7,TX,OK,24 BA 81 5C 37 E4 D9 13
0.0079,ENGINE_ECU,0x186,RX,OK,16 34 DA FF EA 97 1C D1
0.0119,ENGINE_ECU,0x1BE,TX,OK,75 AC 15 2F 40 81 06 A1
0.0143,STEERING_ECU,0x1D1,TX,TIMEOUT,65 01 A1 F8 DC 08 BD FD
0.0162,ABS_ECU,0x156,TX,TIMEOUT,6E 9D DE 27 3F 92 CA B1
0.0187,DASHBOARD,0x16D,RX,CRC_FAIL,7D 81 7C 3C 33 6E E9 43
0.0226,DASHBOARD,0x166,TX,TIMEOUT,0B E2 D4 2A 23 12 84 1C
0.0249,ENGINE_ECU,0x12A,RX,CRC_FAIL,63 5C E8 9F F7 6D EC FA
0.0281,DASHBOARD,0x1EA,RX,ERROR,09 B2 83 78 1A D8 55 7D
0.0313,AIRBAG_ECU,0x1FD,TX,OK,4A 0C C7 03 F7 97 56 80
0.0357,DASHBOARD,0x1D8,TX,OK,7A 98 4A 94 54 2B 01 D5
0.037,DASHBOARD,0x102,RX,TIMEOUT,0A 41 08 E8 50 99 A5 99
0.0397,AIRBAG_ECU,0x1CC,TX,OK,D2 72 D0 A3 85 95 EC 20
0.0445,AIRBAG_ECU,0x1AE,RX,OK,20 21 85 E8 B6 22 89 F7
0.0461,ENGINE_ECU,0x114,RX,OK,18 A8 41 A9 9F AB 76 48
0.0475,ENGINE_ECU,0x160,RX,OK,76 DD 89 EF CB 9D FF 51
0.0519,ENGINE_ECU,0x18B,TX,TIMEOUT,1E 90 6B 65 48 7F 28 55
0.0561,ABS_ECU,0x1D5,RX,OK,AD 5D A0 68 39 E3 45 60
0.059,DASHBOARD,0x19C,RX,OK,0B 6E 9A D6 D8 55 04 71
0.0629,DASHBOARD,0x17D,RX,OK,7E DA 0F B0 BF 09 00 BD
0.0656,AIRBAG_ECU,0x180,RX,OK,94 DE C3 40 CB 4E 0C 16
0.0701,AIRBAG_ECU,0x118,TX,OK,72 47 8F C4 C4 A2 76 12
0.074,AIRBAG_ECU,0x13C,TX,OK,66 28 C7 E7 C5 10 5A 9E
0.0773,ABS_ECU,0x1F8,RX,ERROR,2A DD 21 5F 51 A5 4D 51
0.0819,ABS_ECU,0x1B3,TX,CRC_FAIL,69 75 5B 3C 83 F9 7F 6A
0.0834,ENGINE_ECU,0x11C,RX,ERROR,4A 21 1F 0D CE 3A 9C 84
0.0877,AIRBAG_ECU,0x197,TX,TIMEOUT,64 22 64 8E 9B 41 00 D2
0.0901,DASHBOARD,0x1CB,RX,OK,11 04 80 3E 9A 0A D0 87
0.0917,ENGINE_ECU,0x127,TX,CRC_FAIL,1B 72 E0 C8 A5 61 1A 24
0.0933,STEERING_ECU,0x177,RX,OK,4B D1 9F 62 7A 9D 29 6F
0.0978,STEERING_ECU,0x164,TX,OK,96 7D C7 13 0A 68 69 C3
0.0998,DASHBOARD,0x1B0,RX,ERROR,84 2A C3 C5 19 30 9D DE
0.1015,DASHBOARD,0x177,RX,OK,48 78 A8 C4 F1 6A 18 F3
0.1061,STEERING_ECU,0x14C,RX,OK,B6 19 46 77 0F 99 51 2D
0.1091,ENGINE_ECU,0x1EC,RX,OK,7A E0 2B 18 8A 86 5D 79
0.1129,DASHBOARD,0x1C0,RX,OK,0F EE 9A 9A F4 85 05 64
0.1158,AIRBAG_ECU,0x169,RX,OK,A6 07 5A 24 D2 1B F5 EE
0.1203,STEERING_ECU,0x167,TX,OK,AE FE A7 F3 4E 96 E0 C4
0.1239,ABS_ECU,0x133,TX,OK,40 9B 71 19 1F 66 93 3F
0.1264,ABS_ECU,0x162,RX,OK,7F C0 92 02 48 FE AC 37
0.1275,STEERING_ECU,0x178,RX,OK,89 12 6C 31 63 70 1F C2
0.1286,DASHBOARD,0x168,RX,OK,7A 51 65 4F 9D C9 AA 5B
0.1332,ENGINE_ECU,0x172,TX,OK,58 66 F2 36 8C 00 B4 AF
0.1344,ENGINE_ECU,0x16F,TX,OK,75 9E 4D 97 05 EA 61 D6
0.137,DASHBOARD,0x157,RX,OK,5B EE 52 65 93 59 FC 4B
0.1384,AIRBAG_ECU,0x1C6,TX,OK,34 4C 07 6D 22 B3 44 C2
0.1406,ABS_ECU,0x152,TX,ERROR,64 FE 38 FC A8 70 9B 6A
0.1434,AIRBAG_ECU,0x1BA,RX,OK,0F F3 01 51 97 21 2C 90
0.1445,STEERING_ECU,0x1D3,TX,OK,7D 5C A3 7C 7F 53 F0 F2
0.1477,ENGINE_ECU,0x1DB,RX,OK,B1 46 D1 B4 9E 03 21 74
0.1506,DASHBOARD,0x170,TX,CRC_FAIL,FE 86 19 07 7F 53 40 38
0.1522,STEERING_ECU,0x1F6,TX,OK,DC 1B 76 90 36 59 61 95
0.1555,AIRBAG_ECU,0x1B1,TX,OK,73 A8 6E 1D A2 82 A7 F9
0.1571,STEERING_ECU,0x11A,RX,OK,7D 64 4F AE 9D 42 A2 17
0.1592,ABS_ECU,0x1C9,TX,OK,C0 77 66 64 8D 0B 57 31
0.1603,AIRBAG_ECU,0x173,TX,OK,13 EF 0F 7C 95 27 59 A8
0.1634,ABS_ECU,0x1BC,TX,ERROR,79 01 0A 50 1D DF 97 CF
0.1676,ABS_ECU,0x14A,RX,ERROR,6B D2 6B 36 E7 D8 4C 56
0.1694,DASHBOARD,0x159,RX,ERROR,1C 55 D5 54 AB F6 58 B4
0.172,STEERING_ECU,0x167,TX,OK,74 47 E7 8E C1 34 7F 82
0.1755,DASHBOARD,0x1E6,TX,TIMEOUT,E4 E0 C4 3A A8 99 31 BC
0.1766,ENGINE_ECU,0x11C,TX,OK,AA 27 3F FC 82 E8 CF 03
0.1778,STEERING_ECU,0x188,RX,OK,02 41 DE 03 2E 0C 8E 20
0.1827,AIRBAG_ECU,0x12A,TX,ERROR,36 A9 53 5E 6B C5 92 00
0.1854,ENGINE_ECU,0x19A,TX,OK,E7 C1 67 F7 AF A5 49 3C
0.1869,STEERING_ECU,0x1D1,RX,OK,54 F0 7D CE 74 6A ED 92
0.191,AIRBAG_ECU,0x13A,TX,OK,43 DD 02 A2 C5 99 8B 39
0.1921,AIRBAG_ECU,0x10F,RX,CRC_FAIL,21 32 31 07 D1 71 24 21
0.1932,STEERING_ECU,0x1A9,RX,ERROR,72 77 0B 09 21 35 5A 6F
0.1974,STEERING_ECU,0x169,TX,OK,4D AD 02 4C 7A 90 CB 2A
0.1985,ENGINE_ECU,0x183,TX,OK,09 88 12 80 E6 75 1C D4
0.202,DASHBOARD,0x114,RX,CRC_FAIL,88 13 BA 0D EA 16 A9 51
0.2052,STEERING_ECU,0x16B,TX,OK,3F 95 D1 91 62 0A 21 38
0.2091,DASHBOARD,0x121,TX,OK,41 43 A5 14 19 A5 20 3A
0.2129,ABS_ECU,0x1C6,TX,OK,97 6C 1B 75 0B 59 D4 48
0.2142,DASHBOARD,0x1D5,TX,OK,AF 2C CC 6A 6B DF 6C CC
0.2157,STEERING_ECU,0x182,TX,OK,87 1D DE E6 C3 E2 E8 DE
0.218,ENGINE_ECU,0x1A4,TX,CRC_FAIL,9A 3E 41 7C 75 67 95 D2
0.2228,DASHBOARD,0x1BB,TX,OK,BE 62 C3 1B 12 CC C3 95
0.224,ABS_ECU,0x197,RX,CRC_FAIL,86 ED 00 EB 8A 81 9D 2A
0.2252,STEERING_ECU,0x1EB,RX,OK,20 B3 A4 A0 FA BA 4F 6E
0.2263,AIRBAG_ECU,0x112,TX,OK,B8 09 85 E3 E2 77 0D D9
0.2283,DASHBOARD,0x1B9,TX,OK,3F 1F 4E 84 ED 04 61 ED
0.2304,AIRBAG_ECU,0x186,TX,ERROR,13 DC 34 DB 0E 77 45 F1
0.2322,ENGINE_ECU,0x175,TX,OK,E4 F8 37 9D 1F B6 4E E2
0.2358,AIRBAG_ECU,0x1C0,RX,ERROR,90 04 4A 21 4E 44 02 BD
0.2396,ENGINE_ECU,0x12F,RX,OK,C2 8F A9 35 1D B9 83 6B
